modality,cycle_id,stage_id,fragment_index,file_name,numeric_stem,rows,columns_detected,stems_contiguous,trailing_empty_tolerated,stage_boundary_jump_ratio_max,all_chunks_expected_rows
ETP,C2,S0,4,270000.csv,270000,15000,67,1,1,1.2955155121943,1
ETP,C2,S0,5,285000.csv,285000,15000,67,1,1,1.2955155121943,1
ETP,C2,S1,1,675000.csv,675000,15000,67,1,1,1.35593781161648,1
ETP,C2,S1,2,690000.csv,690000,15000,67,1,1,1.35593781161648,1
ETP,C2,S1,3,705000.csv,705000,15000,67,1,1,1.35593781161648,1
ETP,C2,S1,4,720000.csv,720000,15000,67,1,1,1.35593781161648,1
ETP,C2,S1,5,735000.csv,735000,15000,67,1,1,1.35593781161648,1
ETP,C2,S1,6,750000.csv,750000,15000,67,1,1,1.35593781161648,1
ETP,C2,S2,1,630000.csv,630000,15000,67,1,1,1.74999999999996,1
ETP,C2,S2,2,645000.csv,645000,15000,67,1,1,1.74999999999996,1
ETP,C2,S2,3,660000.csv,660000,15000,67,1,1,1.74999999999996,1
ETP,C2,S2,4,675000.csv,675000,15000,67,1,1,1.74999999999996,1
ETP,C2,S2,5,690000.csv,690000,15000,67,1,1,1.74999999999996,1
ETP,C2,S2,6,705000.csv,705000,15000,67,1,1,1.74999999999996,1
ETP,C2,S3,1,375000.csv,375000,15000,67,1,1,1.65646592393152,1
ETP,C2,S3,2,390000.csv,390000,15000,67,1,1,1.65646592393152,1
ETP,C2,S3,3,405000.csv,405000,15000,67,1,1,1.65646592393152,1
ETP,C2,S3,4,420000.csv,420000,15000,67,1,1,1.65646592393152,1
ETP,C2,S3,5,435000.csv,435000,15000,67,1,1,1.65646592393152,1
ETP,C2,S3,6,450000.csv,450000,15000,67,1,1,1.65646592393152,1
ETP,C2,S4,1,660000.csv,660000,15000,67,1,1,1.55422528629561,1
ETP,C2,S4,2,675000.csv,675000,15000,67,1,1,1.55422528629561,1
ETP,C2,S4,3,690000.csv,690000,15000,67,1,1,1.55422528629561,1
ETP,C2,S4,4,705000.csv,705000,15000,67,1,1,1.55422528629561,1
ETP,C2,S4,5,720000.csv,720000,15000,67,1,1,1.55422528629561,1
ETP,C2,S4,6,735000.csv,735000,15000,67,1,1,1.55422528629561,1
ETP,C2,S5,1,630000.csv,630000,15000,67,1,1,1.60799740280767,1
ETP,C2,S5,2,645000.csv,645000,15000,67,1,1,1.60799740280767,1
ETP,C2,S5,3,660000.csv,660000,15000,67,1,1,1.60799740280767,1
ETP,C2,S5,4,675000.csv,675000,15000,67,1,1,1.60799740280767,1
ETP,C2,S5,5,690000.csv,690000,15000,67,1,1,1.60799740280767,1
ETP,C2,S5,6,705000.csv,705000,15000,67,1,1,1.60799740280767,1
ETP,C2,S6,1,675000.csv,675000,15000,67,1,1,1.5675903613481,1
ETP,C2,S6,2,690000.csv,690000,15000,67,1,1,1.5675903613481,1
ETP,C2,S6,3,705000.csv,705000,15000,67,1,1,1.5675903613481,1
ETP,C2,S6,4,720000.csv,720000,15000,67,1,1,1.5675903613481,1
ETP,C2,S6,5,735000.csv,735000,15000,67,1,1,1.5675903613481,1
ETP,C3,S0,1,285000.csv,285000,15000,67,1,1,1.26276305125295,1
ETP,C3,S0,2,300000.csv,300000,15000,67,1,1,1.26276305125295,1
ETP,C3,S0,3,315000.csv,315000,15000,67,1,1,1.26276305125295,1
ETP,C3,S0,4,330000.csv,330000,15000,67,1,1,1.26276305125295,1
ETP,C3,S0,5,345000.csv,345000,15000,67,1,1,1.26276305125295,1
ETP,C3,S1,1,480000.csv,480000,15000,67,1,1,1.33999441667363,1
ETP,C3,S1,2,495000.csv,495000,15000,67,1,1,1.33999441667363,1
ETP,C3,S1,3,510000.csv,510000,15000,67,1,1,1.33999441667363,1
ETP,C3,S1,4,525000.csv,525000,15000,67,1,1,1.33999441667363,1
ETP,C3,S1,5,540000.csv,540000,15000,67,1,1,1.33999441667363,1
ETP,C3,S1,6,555000.csv,555000,15000,67,1,1,1.33999441667363,1
ETP,C3,S2,1,765000.csv,765000,15000,67,1,1,1.4401965313019,1
ETP,C3,S2,2,780000.csv,780000,15000,67,1,1,1.4401965313019,1
ETP,C3,S2,3,795000.csv,795000,15000,67,1,1,1.4401965313019,1
ETP,C3,S2,4,810000.csv,810000,15000,67,1,1,1.4401965313019,1
ETP,C3,S2,5,825000.csv,825000,15000,67,1,1,1.4401965313019,1
ETP,C3,S2,6,840000.csv,840000,15000,67,1,1,1.4401965313019,1
