feature_id,cycle_id,stage_id,stage_ordinal,configuration,left_shift,right_shift,half_width,feature_value
MAG_F1_DW_Q90,C1,S4,4,16,0,0.025,0.033,1.1307988233393
MAG_F1_DW_Q90,C1,S4,4,17,0,0.025,0.042,1.14472273809818
MAG_F1_DW_Q90,C1,S4,4,18,0.025,-0.025,0.026,1.11263697031451
MAG_F1_DW_Q90,C1,S4,4,19,0.025,-0.025,0.033,1.12036428824163
MAG_F1_DW_Q90,C1,S4,4,20,0.025,-0.025,0.042,1.12395157520954
MAG_F1_DW_Q90,C1,S4,4,21,0.025,0,0.026,1.12172906284865
MAG_F1_DW_Q90,C1,S4,4,22,0.025,0,0.033,1.13373298895643
MAG_F1_DW_Q90,C1,S4,4,23,0.025,0,0.042,1.14293699596757
MAG_F1_DW_Q90,C1,S4,4,24,0.025,0.025,0.026,1.12771425827318
MAG_F1_DW_Q90,C1,S4,4,25,0.025,0.025,0.033,1.13600276983068
MAG_F1_DW_Q90,C1,S4,4,26,0.025,0.025,0.042,1.14762238524746
MAG_F1_DW_Q90,C1,S5,5,0,-0.025,-0.025,0.026,1.30572151283331
MAG_F1_DW_Q90,C1,S5,5,1,-0.025,-0.025,0.033,1.31128766983233
MAG_F1_DW_Q90,C1,S5,5,2,-0.025,-0.025,0.042,1.31791069650787
MAG_F1_DW_Q90,C1,S5,5,3,-0.025,0,0.026,1.31878882981194
MAG_F1_DW_Q90,C1,S5,5,4,-0.025,0,0.033,1.32188647815524
MAG_F1_DW_Q90,C1,S5,5,5,-0.025,0,0.042,1.32499980926514
MAG_F1_DW_Q90,C1,S5,5,6,-0.025,0.025,0.026,1.32425367047476
MAG_F1_DW_Q90,C1,S5,5,7,-0.025,0.025,0.033,1.32936601521907
MAG_F1_DW_Q90,C1,S5,5,8,-0.025,0.025,0.042,1.33660240219594
MAG_F1_DW_Q90,C1,S5,5,9,0,-0.025,0.026,1.3051192706261
MAG_F1_DW_Q90,C1,S5,5,10,0,-0.025,0.033,1.31269638838201
MAG_F1_DW_Q90,C1,S5,5,11,0,-0.025,0.042,1.32418707624788
MAG_F1_DW_Q90,C1,S5,5,12,0,0,0.026,1.31531316875693
MAG_F1_DW_Q90,C1,S5,5,13,0,0,0.033,1.31837769899905
MAG_F1_DW_Q90,C1,S5,5,14,0,0,0.042,1.32965832657269
MAG_F1_DW_Q90,C1,S5,5,15,0,0.025,0.026,1.32318632326833
MAG_F1_DW_Q90,C1,S5,5,16,0,0.025,0.033,1.32822937640713
MAG_F1_DW_Q90,C1,S5,5,17,0,0.025,0.042,1.3369527290795
MAG_F1_DW_Q90,C1,S5,5,18,0.025,-0.025,0.026,1.30525587481027
MAG_F1_DW_Q90,C1,S5,5,19,0.025,-0.025,0.033,1.3144127116268
MAG_F1_DW_Q90,C1,S5,5,20,0.025,-0.025,0.042,1.33121624636002
MAG_F1_DW_Q90,C1,S5,5,21,0.025,0,0.026,1.31258538995799
MAG_F1_DW_Q90,C1,S5,5,22,0.025,0,0.033,1.31804380119756
MAG_F1_DW_Q90,C1,S5,5,23,0.025,0,0.042,1.33325769596532
MAG_F1_DW_Q90,C1,S5,5,24,0.025,0.025,0.026,1.3165728374398
MAG_F1_DW_Q90,C1,S5,5,25,0.025,0.025,0.033,1.32201076239305
MAG_F1_DW_Q90,C1,S5,5,26,0.025,0.025,0.042,1.33649688966802
MAG_F1_DW_Q90,C1,S6,6,0,-0.025,-0.025,0.026,1.4587488723156
MAG_F1_DW_Q90,C1,S6,6,1,-0.025,-0.025,0.033,1.46515909751202
MAG_F1_DW_Q90,C1,S6,6,2,-0.025,-0.025,0.042,1.47049076698432
MAG_F1_DW_Q90,C1,S6,6,3,-0.025,0,0.026,1.47154704384041
MAG_F1_DW_Q90,C1,S6,6,4,-0.025,0,0.033,1.47797415919235
MAG_F1_DW_Q90,C1,S6,6,5,-0.025,0,0.042,1.48465575706752
MAG_F1_DW_Q90,C1,S6,6,6,-0.025,0.025,0.026,1.48335777485885
MAG_F1_DW_Q90,C1,S6,6,7,-0.025,0.025,0.033,1.49343058454606
MAG_F1_DW_Q90,C1,S6,6,8,-0.025,0.025,0.042,1.50650463929363
MAG_F1_DW_Q90,C1,S6,6,9,0,-0.025,0.026,1.45610370712737
MAG_F1_DW_Q90,C1,S6,6,10,0,-0.025,0.033,1.46438701330188
MAG_F1_DW_Q90,C1,S6,6,11,0,-0.025,0.042,1.47157844600522
MAG_F1_DW_Q90,C1,S6,6,12,0,0,0.026,1.46643046308884
MAG_F1_DW_Q90,C1,S6,6,13,0,0,0.033,1.47710306060435
MAG_F1_DW_Q90,C1,S6,6,14,0,0,0.042,1.4847458795764
MAG_F1_DW_Q90,C1,S6,6,15,0,0.025,0.026,1.48484115733066
MAG_F1_DW_Q90,C1,S6,6,16,0,0.025,0.033,1.49475547628382
MAG_F1_DW_Q90,C1,S6,6,17,0,0.025,0.042,1.51102278497506
MAG_F1_DW_Q90,C1,S6,6,18,0.025,-0.025,0.026,1.44925009240129
MAG_F1_DW_Q90,C1,S6,6,19,0.025,-0.025,0.033,1.4597326852612
MAG_F1_DW_Q90,C1,S6,6,20,0.025,-0.025,0.042,1.47044559628205
MAG_F1_DW_Q90,C1,S6,6,21,0.025,0,0.026,1.46254797300743
MAG_F1_DW_Q90,C1,S6,6,22,0.025,0,0.033,1.47135513875572
MAG_F1_DW_Q90,C1,S6,6,23,0.025,0,0.042,1.48295587897771
MAG_F1_DW_Q90,C1,S6,6,24,0.025,0.025,0.026,1.47735980541564
MAG_F1_DW_Q90,C1,S6,6,25,0.025,0.025,0.033,1.48844163330298
MAG_F1_DW_Q90,C1,S6,6,26,0.025,0.025,0.042,1.50705931502543
MAG_F1_DW_Q90,C2,S0,0,0,-0.025,-0.025,0.026,0.0668236556839117
MAG_F1_DW_Q90,C2,S0,0,1,-0.025,-0.025,0.033,0.0668625912666831
MAG_F1_DW_Q90,C2,S0,0,2,-0.025,-0.025,0.042,0.066823684464431
MAG_F1_DW_Q90,C2,S0,0,3,-0.025,0,0.026,0.073881404485773
MAG_F1_DW_Q90,C2,S0,0,4,-0.025,0,0.033,0.0739200134277493
MAG_F1_DW_Q90,C2,S0,0,5,-0.025,0,0.042,0.0756815014750833
MAG_F1_DW_Q90,C2,S0,0,6,-0.025,0.025,0.026,0.0768510329719136
MAG_F1_DW_Q90,C2,S0,0,7,-0.025,0.025,0.033,0.0814879945601286
MAG_F1_DW_Q90,C2,S0,0,8,-0.025,0.025,0.042,0.086749735840669
MAG_F1_DW_Q90,C2,S0,0,9,0,-0.025,0.026,0.0739200134277493
MAG_F1_DW_Q90,C2,S0,0,10,0,-0.025,0.033,0.0739200134277493
MAG_F1_DW_Q90,C2,S0,0,11,0,-0.025,0.042,0.0739200134277493
MAG_F1_DW_Q90,C2,S0,0,12,0,0,0.026,0.0832750182152013
MAG_F1_DW_Q90,C2,S0,0,13,0,0,0.033,0.0832750182152013
MAG_F1_DW_Q90,C2,S0,0,14,0,0,0.042,0.0850901560179791
MAG_F1_DW_Q90,C2,S0,0,15,0,0.025,0.026,0.0847059180384759
MAG_F1_DW_Q90,C2,S0,0,16,0,0.025,0.033,0.0924891759593949
MAG_F1_DW_Q90,C2,S0,0,17,0,0.025,0.042,0.0962929292567387
MAG_F1_DW_Q90,C2,S0,0,18,0.025,-0.025,0.026,0.0832750182152013
MAG_F1_DW_Q90,C2,S0,0,19,0.025,-0.025,0.033,0.0832750182152013
MAG_F1_DW_Q90,C2,S0,0,20,0.025,-0.025,0.042,0.0832750182152013
MAG_F1_DW_Q90,C2,S0,0,21,0.025,0,0.026,0.0924000310897899
MAG_F1_DW_Q90,C2,S0,0,22,0.025,0,0.033,0.0924000310897901
MAG_F1_DW_Q90,C2,S0,0,23,0.025,0,0.042,0.0944149639279319
MAG_F1_DW_Q90,C2,S0,0,24,0.025,0.025,0.026,0.0951771762086564
MAG_F1_DW_Q90,C2,S0,0,25,0.025,0.025,0.033,0.100563539373461
MAG_F1_DW_Q90,C2,S0,0,26,0.025,0.025,0.042,0.10392562322485
MAG_F1_DW_Q90,C2,S1,1,0,-0.025,-0.025,0.026,0.268853709869985
MAG_F1_DW_Q90,C2,S1,1,1,-0.025,-0.025,0.033,0.270463140732679
MAG_F1_DW_Q90,C2,S1,1,2,-0.025,-0.025,0.042,0.271533559508514
MAG_F1_DW_Q90,C2,S1,1,3,-0.025,0,0.026,0.28379901014669
MAG_F1_DW_Q90,C2,S1,1,4,-0.025,0,0.033,0.289375046509538
MAG_F1_DW_Q90,C2,S1,1,5,-0.025,0,0.042,0.290752221183424
MAG_F1_DW_Q90,C2,S1,1,6,-0.025,0.025,0.026,0.29115468561193
MAG_F1_DW_Q90,C2,S1,1,7,-0.025,0.025,0.033,0.297901813453249
MAG_F1_DW_Q90,C2,S1,1,8,-0.025,0.025,0.042,0.306646273758278
MAG_F1_DW_Q90,C2,S1,1,9,0,-0.025,0.026,0.27037638818959
MAG_F1_DW_Q90,C2,S1,1,10,0,-0.025,0.033,0.272448639103507
MAG_F1_DW_Q90,C2,S1,1,11,0,-0.025,0.042,0.27642368399253
MAG_F1_DW_Q90,C2,S1,1,12,0,0,0.026,0.288705247366472
MAG_F1_DW_Q90,C2,S1,1,13,0,0,0.033,0.294773071384574
MAG_F1_DW_Q90,C2,S1,1,14,0,0,0.042,0.299032270154119
MAG_F1_DW_Q90,C2,S1,1,15,0,0.025,0.026,0.297975510891611
MAG_F1_DW_Q90,C2,S1,1,16,0,0.025,0.033,0.303816070720475
MAG_F1_DW_Q90,C2,S1,1,17,0,0.025,0.042,0.316954948107406
MAG_F1_DW_Q90,C2,S1,1,18,0.025,-0.025,0.026,0.282368592415852
MAG_F1_DW_Q90,C2,S1,1,19,0.025,-0.025,0.033,0.2807338014147
MAG_F1_DW_Q90,C2,S1,1,20,0.025,-0.025,0.042,0.281311795571061
MAG_F1_DW_Q90,C2,S1,1,21,0.025,0,0.026,0.300956995664011
MAG_F1_DW_Q90,C2,S1,1,22,0.025,0,0.033,0.304980312394824
MAG_F1_DW_Q90,C2,S1,1,23,0.025,0,0.042,0.306013291557906
