cycle_id,stage_id,stage_ordinal,channel,good_from_S0,E1_channel,EDirect_channel,S0_reference_MAD
C1,S5,5,19,1,-0.0956677496669487,0.520251338610752,25.7597627909756
C1,S5,5,20,1,0.00185425072235801,0.206301389359565,12.636147190606
C1,S6,6,1,1,-0.189933455847761,0.10230703812799,13.6353898787406
C1,S6,6,2,1,0.0337385682629885,0.924739950542546,17.0854631141118
C1,S6,6,3,1,0.0193542731456377,0.539282561286489,15.2441921319027
C1,S6,6,4,1,-0.540181178901456,0.930220274233036,13.5865796865462
C1,S6,6,5,1,0.199458467197394,0.68378748068796,13.5864528381412
C1,S6,6,6,1,-0.0411106663117788,0.191106496894676,16.2817600440684
C1,S6,6,7,1,0.212840802915349,0.203074795120667,10.8544226196454
C1,S6,6,8,1,0.474458203280141,0.461481716484493,13.6197781694903
C1,S6,6,9,1,0.196755945054843,0.340653184471984,19.587062447222
C1,S6,6,10,1,0.279028048604647,0.577866495111933,18.4834232142408
C1,S6,6,11,1,0.143095097889563,0.286519898170069,14.6089877240415
C1,S6,6,12,1,-0.0597085197149284,0.409086431781227,19.1298260692936
C1,S6,6,13,1,-0.148536128586979,0.508795494437041,20.9516486860097
C1,S6,6,14,1,0.0897160419752577,0.176469895223408,17.3298109015793
C1,S6,6,15,1,-0.0608898165923398,0.211118092338418,21.2959925456552
C1,S6,6,16,1,0.116575949426658,0.287236544760625,17.7896653513098
C1,S6,6,17,1,0.0355925975152092,0.166760294352841,19.1556226082241
C1,S6,6,18,1,0.102199512481258,0.105964752716296,16.1886168047621
C1,S6,6,19,1,-0.147630679542145,0.620001490264804,25.7597627909756
C1,S6,6,20,1,-0.0467373159492051,0.24294135859256,12.636147190606
C2,S0,0,1,1,0,0,13.250254295078
C2,S0,0,2,1,0,0,15.8441828960727
C2,S0,0,3,1,0,0,14.0096562935255
C2,S0,0,4,1,0,0,16.6431731644067
C2,S0,0,5,1,0,0,12.9012391898455
C2,S0,0,6,1,0,0,16.6303612185893
C2,S0,0,7,1,0,0,10.8610338993165
C2,S0,0,8,1,0,0,14.6074990506769
C2,S0,0,9,1,0,0,18.4694023000185
C2,S0,0,10,1,0,0,18.1668987644462
C2,S0,0,11,1,0,0,14.134453189375
C2,S0,0,12,1,0,0,21.0178683800638
C2,S0,0,13,1,0,0,20.0292216804705
C2,S0,0,14,1,0,0,16.2393295664791
