cycle_id,stage_id,stage_ordinal,circumferential_position,contrast,repeatability_eligible
C1,S6,6,7,0.491289605161354,1
C1,S6,6,8,0.462792603148711,1
C1,S6,6,9,0.40281138143385,1
C1,S6,6,10,0.463538104561372,1
C2,S0,0,1,-0.0218047510284132,1
C2,S0,0,2,-0.00504801753320794,1
C2,S0,0,3,0.00466326309417942,1
C2,S0,0,4,-0.00174784420367424,1
C2,S0,0,5,0.00212748374930039,1
C2,S0,0,6,0.000804522332893187,1
C2,S0,0,7,-0.00584902608241378,1
C2,S0,0,8,0.0024554781952143,1
C2,S0,0,9,-0.00213906112187068,1
C2,S0,0,10,0.00559797516618155,1
C2,S1,1,1,0.0628715658058732,1
C2,S1,1,2,0.0828300064667166,1
C2,S1,1,3,0.106976495240145,1
C2,S1,1,4,0.0905414955049337,1
C2,S1,1,5,0.0794955913392644,1
C2,S1,1,6,0.0957987674675237,1
C2,S1,1,7,0.0919750890195411,1
C2,S1,1,8,0.103165261801421,1
C2,S1,1,9,0.0752159662172703,1
C2,S1,1,10,0.12593048081532,1
C2,S2,2,1,0.0700192335494929,0
C2,S2,2,2,0.081966010975919,0
C2,S2,2,3,0.0941554429943466,0
C2,S2,2,4,0.0950101963603542,0
C2,S2,2,5,0.079012084419942,0
C2,S2,2,6,0.0835711894354176,0
C2,S2,2,7,0.0758497475326861,0
C2,S2,2,8,0.0894132503516759,0
C2,S2,2,9,0.0787111370778302,0
C2,S2,2,10,0.109253087828135,0
C2,S3,3,1,0.229956344131089,1
C2,S3,3,2,0.320763250919751,1
C2,S3,3,3,0.301673703270337,1
C2,S3,3,4,0.317699532492514,1
C2,S3,3,5,0.303790359439334,1
C2,S3,3,6,0.318324761846921,1
C2,S3,3,7,0.352210706368294,1
C2,S3,3,8,0.321655102216245,1
C2,S3,3,9,0.306081352446091,1
C2,S3,3,10,0.350727346448552,1
C2,S4,4,1,0.294400120579851,1
C2,S4,4,2,0.463422317672892,1
C2,S4,4,3,0.377661123222649,1
C2,S4,4,4,0.411531161722442,1
C2,S4,4,5,0.375560456372875,1
C2,S4,4,6,0.400568990571392,1
C2,S4,4,7,0.464167171446073,1
C2,S4,4,8,0.431361821038673,1
C2,S4,4,9,0.416214591312334,1
C2,S4,4,10,0.464881255311127,1
C2,S5,5,1,0.373533700037473,1
C2,S5,5,2,0.553646757132804,1
C2,S5,5,3,0.47511439212626,1
C2,S5,5,4,0.488276034854206,1
C2,S5,5,5,0.449091375144808,1
C2,S5,5,6,0.498820653708467,1
C2,S5,5,7,0.581244908535933,1
C2,S5,5,8,0.528233874457853,1
C2,S5,5,9,0.495911521427273,1
C2,S5,5,10,0.575541089000839,1
C2,S6,6,1,0.569677430247915,1
C2,S6,6,2,0.708203674341185,1
C2,S6,6,3,0.591287539761578,1
C2,S6,6,4,0.670899407702852,1
C2,S6,6,5,0.611718987686236,1
C2,S6,6,6,0.611529651746749,1
C2,S6,6,7,0.703565674671479,1
C2,S6,6,8,0.661037020444837,1
C2,S6,6,9,0.643965390853531,1
C2,S6,6,10,0.711115451841081,1
C3,S0,0,1,0.000456237884194133,1
C3,S0,0,2,-0.0129285503438044,1
C3,S0,0,3,-0.0160078294338687,1
C3,S0,0,4,-0.0175000045846569,1
C3,S0,0,5,-0.00420944662896772,1
C3,S0,0,6,0.000876604526991343,1
C3,S0,0,7,-0.00283369975678305,1
C3,S0,0,8,-0.0208455841694873,1
C3,S0,0,9,0.0135874896645589,1
C3,S0,0,10,-0.0078630260179674,1
C3,S1,1,1,0.197287226458274,1
C3,S1,1,2,0.286712315561942,1
C3,S1,1,3,0.283757428726006,1
C3,S1,1,4,0.25704383375986,1
C3,S1,1,5,0.251360499954194,1
C3,S1,1,6,0.26884886742244,1
C3,S1,1,7,0.262120495607444,1
C3,S1,1,8,0.26902100891886,1
C3,S1,1,9,0.243910664695935,1
C3,S1,1,10,0.287613997356189,1
C3,S2,2,1,0.47393944172836,1
C3,S2,2,2,0.657529460793737,1
C3,S2,2,3,0.577610742634828,1
C3,S2,2,4,0.573396259972817,1
C3,S2,2,5,0.519626843439297,1
C3,S2,2,6,0.585886082353538,1
C3,S2,2,7,0.687725433875593,1
C3,S2,2,8,0.630741927061734,1
C3,S2,2,9,0.59554402390957,1
C3,S2,2,10,0.657409421745133,1
