cycle_id,stage_id,stage_ordinal,physical_column_within_remanence,contrast,repeatability_eligible
C2,S2,2,6,0.0449691720128935,0
C2,S2,2,7,-0.0238247924420136,0
C2,S2,2,8,-0.040170808520377,0
C2,S2,2,9,0.0150294257712829,0
C2,S2,2,10,-0.0286919163470557,0
C2,S2,2,11,-0.0749168830604366,0
C2,S2,2,12,-0.0600138134552126,0
C2,S2,2,13,0.0630250562512699,0
C2,S2,2,14,0.137451138138972,0
C2,S2,2,15,0.256233383716611,0
C2,S2,2,16,0.355723250958688,0
C2,S3,3,1,1.28184013024164,1
C2,S3,3,2,1.10692403119557,1
C2,S3,3,3,0.933304177571419,1
C2,S3,3,4,0.688538959106019,1
C2,S3,3,5,0.36780475890168,1
C2,S3,3,6,0.0302711867524532,1
C2,S3,3,7,-0.0802146984097215,1
C2,S3,3,8,-0.0940754347394593,1
C2,S3,3,9,-0.116413817620919,1
C2,S3,3,10,-0.13293033956642,1
C2,S3,3,11,-0.189520695458924,1
C2,S3,3,12,-0.0897770173724164,1
C2,S3,3,13,0.156138266507267,1
C2,S3,3,14,0.482635079531146,1
C2,S3,3,15,0.8377560815578,1
C2,S3,3,16,1.22620211776618,1
C2,S4,4,1,1.64423489362588,1
C2,S4,4,2,1.52122639609739,1
C2,S4,4,3,1.32345577024027,1
C2,S4,4,4,0.936489211918917,1
C2,S4,4,5,0.542159181853076,1
C2,S4,4,6,0.0988105067991231,1
C2,S4,4,7,-0.0388603039267841,1
C2,S4,4,8,0.0107478773507708,1
C2,S4,4,9,0.0369525152318102,1
C2,S4,4,10,0.0121033033848356,1
C2,S4,4,11,-0.0772381411695405,1
C2,S4,4,12,-0.0599942744950587,1
C2,S4,4,13,0.169253477325647,1
C2,S4,4,14,0.529964371204254,1
C2,S4,4,15,1.03606035200327,1
C2,S4,4,16,1.52178349470866,1
C2,S5,5,1,1.94274743149136,1
C2,S5,5,2,1.82935258673247,1
C2,S5,5,3,1.66543634559265,1
C2,S5,5,4,1.19996323940937,1
C2,S5,5,5,0.695879330217741,1
C2,S5,5,6,0.193284259100292,1
C2,S5,5,7,0.0457691518339717,1
C2,S5,5,8,0.0943757394080205,1
C2,S5,5,9,0.163510659189564,1
C2,S5,5,10,0.155940251307047,1
C2,S5,5,11,0.0546678449199132,1
C2,S5,5,12,0.0235787574019379,1
C2,S5,5,13,0.196135761335308,1
C2,S5,5,14,0.5719062047643,1
C2,S5,5,15,1.18639236530232,1
C2,S5,5,16,1.77317011832917,1
C2,S6,6,1,2.08729749940784,1
C2,S6,6,2,1.96876333612592,1
C2,S6,6,3,1.75196504368936,1
C2,S6,6,4,1.20330690799857,1
C2,S6,6,5,0.587257323479404,1
C2,S6,6,6,0.218299003568123,1
C2,S6,6,7,0.135211181716587,1
C2,S6,6,8,0.26496376699736,1
C2,S6,6,9,0.286557837435289,1
C2,S6,6,10,0.265020209329431,1
C2,S6,6,11,0.142422899967232,1
C2,S6,6,12,0.159983264872621,1
C2,S6,6,13,0.367944737045445,1
C2,S6,6,14,0.851694188489536,1
C2,S6,6,15,1.53721906149138,1
C2,S6,6,16,1.97285440801079,1
C3,S0,0,1,-0.0693271581013438,1
C3,S0,0,2,-0.178274391708292,1
C3,S0,0,3,-0.16154727884404,1
C3,S0,0,4,-0.030157205336072,1
C3,S0,0,5,0.203672487924327,1
C3,S0,0,6,0.149100193025541,1
C3,S0,0,7,0.0370670613057082,1
C3,S0,0,8,-0.0742512548490327,1
C3,S0,0,9,-0.132081428072748,1
C3,S0,0,10,-0.179682884648448,1
C3,S0,0,11,-0.135653695274305,1
C3,S0,0,12,0.091443995998903,1
C3,S0,0,13,0.243326755441132,1
C3,S0,0,14,0.115785697440989,1
C3,S0,0,15,-0.0520486319235438,1
C3,S0,0,16,0.00193386423979713,1
C3,S1,1,1,0.907544386007238,1
C3,S1,1,2,0.7696357620067,1
C3,S1,1,3,0.668627431967837,1
C3,S1,1,4,0.590624718526219,1
C3,S1,1,5,0.446617111068763,1
C3,S1,1,6,0.147915007635144,1
C3,S1,1,7,-0.0514887482437213,1
C3,S1,1,8,-0.126620728497093,1
C3,S1,1,9,-0.113721866066721,1
C3,S1,1,10,-0.149110386848814,1
C3,S1,1,11,-0.146156307267191,1
C3,S1,1,12,-0.053055167323856,1
C3,S1,1,13,0.137507135925733,1
C3,S1,1,14,0.340799709093115,1
C3,S1,1,15,0.508704568008525,1
C3,S1,1,16,0.79345498633895,1
C3,S2,2,1,2.02511892616742,1
C3,S2,2,2,1.95935011600778,1
C3,S2,2,3,1.78477650010543,1
C3,S2,2,4,1.33864562866444,1
C3,S2,2,5,0.783263153134997,1
C3,S2,2,6,0.265118839815593,1
C3,S2,2,7,0.0842949375631935,1
C3,S2,2,8,0.120847794076072,1
C3,S2,2,9,0.234208287283593,1
C3,S2,2,10,0.237796038325091,1
C3,S2,2,11,0.169409691476983,1
C3,S2,2,12,0.157343155553647,1
C3,S2,2,13,0.30590410682171,1
C3,S2,2,14,0.631221744570922,1
C3,S2,2,15,1.23840958340106,1
C3,S2,2,16,1.79555208631104,1
